https://doi.org/10.1109/TR.2018.2864706|A Modular Fault Diagnosis and Prognosis Method for Hydro-Control Valve System Based on Redundancy in Multisensor Data Information
https://doi.org/10.3390/s21030853|Development of a Methodology Using Artificial Neural Network in the Detection and Diagnosis of Faults for Pneumatic Control Valves
https://doi.org/10.1631/jzus.a2100598|Data-driven fault diagnosis of control valve with missing data based on modeling and deep residual shrinkage network
https://doi.org/10.1109/DCABES50732.2020.00035|Fault Diagnosis Approach for Pneumatic Control Valves Based on Modified Expert System
https://doi.org/10.1109/CDC.2007.4434224|A practical system for online diagnosis of control valve faults
https://doi.org/10.1109/ICRMS63553.2024.00098|Control Valve Fault Diagnosis based on Transfer Factor Analysis under Various Working Condition
https://doi.org/10.1016/j.jpse.2022.100074|Review and analysis of pipeline leak detection methods
https://doi.org/10.1016/j.engfailanal.2023.107060|Leak detection and localization techniques in oil and gas pipeline: A bibliometric and systematic review
https://doi.org/10.1016/j.compchemeng.2007.08.011|Analysis of the smallest detectable leakage flow rate of negative pressure wave-based leak detection systems for liquid pipelines
https://doi.org/10.1109/JLT.2016.2615468|Novel Negative Pressure Wave-Based Pipeline Leak Detection System Using Fiber Bragg Grating-Based Pressure Sensors
https://doi.org/10.1109/SOLI.2012.6273565|Negative pressure wave based pipeline Leak Detection: Challenges and algorithms
https://doi.org/10.1007/s13349-022-00568-2|Machine learning approach to transient-based leak detection of pressurized pipelines: Classification vs Regression
https://doi.org/10.1155/2021/8699362|Application of VMD in Pipeline Leak Detection Based on Negative Pressure Wave
https://doi.org/10.1016/j.ymssp.2019.106587|Applications of machine learning to machine fault diagnosis: A review and roadmap
